Country,Year,Average_temperature
Ghana,2010,28.09
Ghana,2011,27.78
Ghana,2012,27.56
Ghana,2013,27.72
Ghana,2014,27.85
Ghana,2015,27.98
Ghana,2016,28.23
Ghana,2017,28.08
Ghana,2018,27.98
Kenya,2010,25.43
Kenya,2011,25.23
Kenya,2012,24.93
Kenya,2013,25.16
Kenya,2014,25.13
Kenya,2015,25.22
Kenya,2016,25.58
Kenya,2017,25.38
Kenya,2018,25.03
Nigeria,2010,27.83
Nigeria,2011,27.45
Nigeria,2012,27.25
Nigeria,2013,27.45
Nigeria,2014,27.53
Nigeria,2015,27.33
Nigeria,2016,27.73
Nigeria,2017,27.39
Nigeria,2018,27.35
SouthAfrica,2010,18.64
SouthAfrica,2011,17.95
SouthAfrica,2012,18.16
SouthAfrica,2013,18.28
SouthAfrica,2014,18.47
SouthAfrica,2015,18.92
SouthAfrica,2016,19.03
SouthAfrica,2017,18.58
SouthAfrica,2018,18.72
