Entity,Year,rice_yield_gap,maize_yield_gap,cotton_yield_gap,sugarcane_yield_gap,millet_yield_gap,Average_temperature
Ghana,2010,1.95,1.88,0,65.7,0,28.09
Ghana,2011,2.31,2.12,0.54,65.7,0.15,27.78
Ghana,2012,2.12,1.9,0.45,66.47,0.14,27.56
Ghana,2013,2.02,2.05,0.51,66.14,0.21,27.72
Ghana,2014,1.96,2.04,0.51,66.31,0.22,27.85
Ghana,2015,1.91,1.85,0.47,66.33,0.21,27.98
Ghana,2016,1.84,1.82,0.45,66.31,0.2,28.23
Ghana,2017,1.86,1.76,0.44,66.3,0.18,28.08
Ghana,2018,1.84,1.82,0.44,66.33,0.17,27.98
Kenya,2010,2.28,2.47,2.01,10.31,0.92,25.43
Kenya,2011,2.55,2.62,1.8,26.19,0.8,25.23
Kenya,2012,1.86,2.46,2.2,26.69,0.29,24.93
Kenya,2013,2.52,2.51,1.96,15.64,0.64,25.16
Kenya,2014,2.57,2.54,1.94,4.57,0.55,25.13
Kenya,2015,2.56,2.38,1.94,1.31,0.36,25.22
Kenya,2016,3.06,2.77,1.94,11.71,0.85,25.58
Kenya,2017,2.86,2.44,1.92,23.19,0.83,25.38
Kenya,2018,2.27,2.33,2.05,21.35,0.74,25.03
Nigeria,2010,2.9,1.6,0,66.59,0.12,27.83
Nigeria,2011,2.71,1.82,0,66.79,0.85,27.45
Nigeria,2012,2.84,1.94,0.44,67.25,0.34,27.25
Nigeria,2013,3.09,1.99,0.68,67.7,0.69,27.45
Nigeria,2014,2.79,1.86,0.6,67.94,0.37,27.53
Nigeria,2015,2.74,1.89,0.64,68.66,0.37,27.33
Nigeria,2016,2.72,1.69,0.57,69.33,0.49,27.73
Nigeria,2017,2.74,1.86,0.43,69.34,0.64,27.39
Nigeria,2018,2.7,1.36,0.47,69.72,0.5,27.35
South Africa,2010,6.64,2.95,0.11,39.75,1.48,18.64
South Africa,2011,6.62,3.25,0.65,32.37,1.49,17.95
South Africa,2012,6.5,3.13,0.71,31.62,1.51,18.16
South Africa,2013,6.62,3.37,2.12,23.5,1.51,18.28
South Africa,2014,6.56,2.32,1.01,33.77,1.5,18.47
South Africa,2015,6.51,3.87,0.89,41.34,1.49,18.92
South Africa,2016,6.49,3.62,0.31,38.51,1.49,19.03
South Africa,2017,6.46,1.22,1.83,30.35,1.5,18.58
South Africa,2018,6.44,2.23,1.43,31.28,1.5,18.72
